#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60  24
# Band-Index:    1
   1.13974    -46.250865    -46.250865
   1.16630    -46.250829    -46.250829
   1.19286    -46.250797    -46.250797
   1.21942    -46.250781    -46.250781
   1.24599    -46.250745    -46.250745
   1.27255    -46.250707    -46.250707
   1.29911    -46.250670    -46.250670
   1.32567    -46.250633    -46.250633
   1.35223    -46.250593    -46.250593
   1.37879    -46.250581    -46.250581
   1.37879    -46.250581    -46.250581
   1.43192    -46.250630    -46.250630
   1.48504    -46.250690    -46.250690
   1.53817    -46.250730    -46.250730
   1.59129    -46.250724    -46.250724
   1.64441    -46.250744    -46.250744
   1.69754    -46.250703    -46.250703
   1.75066    -46.250633    -46.250633
   1.80378    -46.250547    -46.250547
   1.85691    -46.250442    -46.250442
   1.91003    -46.250323    -46.250323
   1.96315    -46.250184    -46.250184
   2.01628    -46.250049    -46.250049
   2.06940    -46.249915    -46.249915
   2.12252    -46.249800    -46.249800
   2.17565    -46.249682    -46.249682
   2.22877    -46.249580    -46.249580
   2.28190    -46.249517    -46.249517
   2.33502    -46.249454    -46.249454
   2.38814    -46.249416    -46.249416
 
# Band-Index:    6
   2.38814    -46.249394    -46.249394
   2.33502    -46.249410    -46.249410
   2.28190    -46.249436    -46.249436
   2.22877    -46.249461    -46.249461
   2.17565    -46.249491    -46.249491
   2.12252    -46.249518    -46.249518
   2.06940    -46.249557    -46.249557
   2.01628    -46.249604    -46.249604
   1.96315    -46.249670    -46.249670
   1.91003    -46.249735    -46.249735
   1.85691    -46.249805    -46.249805
   1.80378    -46.249876    -46.249876
   1.75066    -46.249942    -46.249942
   1.69754    -46.250032    -46.250032
   1.64441    -46.250114    -46.250114
   1.59129    -46.250192    -46.250192
   1.53817    -46.250289    -46.250289
   1.48504    -46.250383    -46.250383
   1.43192    -46.250474    -46.250474
   1.37879    -46.250559    -46.250559
   1.37879    -46.250559    -46.250559
   1.35223    -46.250528    -46.250528
   1.32567    -46.250464    -46.250464
   1.29911    -46.250411    -46.250411
   1.27255    -46.250364    -46.250364
   1.24599    -46.250311    -46.250311
   1.21942    -46.250261    -46.250261
   1.19286    -46.250206    -46.250206
   1.16630    -46.250159    -46.250159
   1.13974    -46.250119    -46.250119
   1.11318    -46.250072    -46.250072
   1.08661    -46.250032    -46.250032
   1.06005    -46.249999    -46.249999
   1.03349    -46.249968    -46.249968
   1.00693    -46.249936    -46.249936
   0.98037    -46.249907    -46.249907
   0.95381    -46.249898    -46.249898
   0.92724    -46.249868    -46.249868
   0.90068    -46.249857    -46.249857
   0.87412    -46.249861    -46.249861
   0.87412    -46.249861    -46.249861
   0.82811    -46.249856    -46.249856
   0.78211    -46.249842    -46.249842
   0.73610    -46.249825    -46.249826
   0.69010    -46.249819    -46.249819
   0.64409    -46.249815    -46.249815
   0.59808    -46.249782    -46.249782
   0.55208    -46.249758    -46.249758
   0.50607    -46.249731    -46.249731
   0.46006    -46.249694    -46.249694
   0.41406    -46.249648    -46.249648
   0.36805    -46.249608    -46.249608
   0.32204    -46.249578    -46.249578
   0.27604    -46.249548    -46.249548
   0.23003    -46.249520    -46.249520
   0.18403    -46.249499    -46.249499
   0.13802    -46.249481    -46.249481
   0.09201    -46.249447    -46.249447
   0.04601    -46.249416    -46.249416
   0.00000    -46.249394    -46.249394
 
# Band-Index:    7
   0.00000    -12.489994    -12.489994
   0.04601    -12.484435    -12.484435
   0.09201    -12.467751    -12.467751
   0.13802    -12.440091    -12.440091
   0.18403    -12.401738    -12.401738
   0.23003    -12.353082    -12.353082
   0.27604    -12.294605    -12.294605
   0.32204    -12.226963    -12.226963
   0.36805    -12.151019    -12.151019
   0.41406    -12.067714    -12.067714
   0.46006    -11.978242    -11.978242
   0.50607    -11.884040    -11.884040
   0.55208    -11.786788    -11.786788
   0.59808    -11.688414    -11.688414
   0.64409    -11.591194    -11.591194
   0.69010    -11.497806    -11.497806
   0.73610    -11.411422    -11.411422
   0.78211    -11.336464    -11.336464
   0.82811    -11.280661    -11.280661
   0.87412    -11.258415    -11.258415
   0.87412    -11.258415    -11.258415
   0.90068    -11.257614    -11.257614
   0.92724    -11.255213    -11.255213
   0.95381    -11.251233    -11.251233
   0.98037    -11.245706    -11.245706
   1.00693    -11.238685    -11.238685
   1.03349    -11.230235    -11.230235
   1.06005    -11.220435    -11.220435
   1.08661    -11.209385    -11.209385
   1.11318    -11.197185    -11.197185
   1.13974    -11.183960    -11.183960
   1.16630    -11.169840    -11.169840
   1.19286    -11.154972    -11.154972
   1.21942    -11.139518    -11.139518
   1.24599    -11.123644    -11.123644
   1.27255    -11.107536    -11.107536
   1.29911    -11.091383    -11.091383
   1.32567    -11.075379    -11.075379
   1.35223    -11.059721    -11.059721
   1.37879    -11.044602    -11.044602
   1.37879    -11.044602    -11.044602
   1.43192    -11.081742    -11.081742
   1.48504    -11.134674    -11.134674
   1.53817    -11.203434    -11.203434
   1.59129    -11.286895    -11.286895
   1.64441    -11.382917    -11.382917
   1.69754    -11.488520    -11.488520
   1.75066    -11.600414    -11.600414
   1.80378    -11.715261    -11.715261
   1.85691    -11.829790    -11.829790
   1.91003    -11.941097    -11.941097
   1.96315    -12.046657    -12.046657
   2.01628    -12.144245    -12.144245
   2.06940    -12.232055    -12.232055
   2.12252    -12.308658    -12.308658
   2.17565    -12.372813    -12.372813
   2.22877    -12.423589    -12.423589
   2.28190    -12.460356    -12.460356
   2.33502    -12.482580    -12.482580
   2.38814    -12.489994    -12.489994
 
# Band-Index:    8
   2.38814    -11.231349    -11.231349
   2.33502    -11.228293    -11.228293
   2.28190    -11.219232    -11.219232
   2.22877    -11.204504    -11.204504
   2.17565    -11.184689    -11.184689
   2.12252    -11.160584    -11.160584
   2.06940    -11.133206    -11.133206
   2.01628    -11.103772    -11.103772
   1.96315    -11.073665    -11.073665
   1.91003    -11.044377    -11.044377
   1.85691    -11.017467    -11.017467
   1.80378    -10.994472    -10.994472
   1.75066    -10.976768    -10.976768
   1.69754    -10.965512    -10.965512
   1.64441    -10.961448    -10.961448
   1.59129    -10.964902    -10.964902
   1.53817    -10.975752    -10.975752
   1.48504    -10.993367    -10.993367
   1.43192    -11.016762    -11.016762
   1.37879    -11.044599    -11.044599
   1.37879    -11.044599    -11.044599
   1.35223    -11.031602    -11.031602
   1.32567    -11.022005    -11.022005
   1.29911    -11.015514    -11.015514
   1.27255    -11.011798    -11.011798
   1.24599    -11.010495    -11.010495
   1.21942    -11.011244    -11.011244
   1.19286    -11.013658    -11.013658
   1.16630    -11.017370    -11.017370
   1.13974    -11.022026    -11.022026
   1.11318    -11.027292    -11.027292
   1.08661    -11.032860    -11.032860
   1.06005    -11.038453    -11.038453
   1.03349    -11.043812    -11.043812
   1.00693    -11.048717    -11.048717
   0.98037    -11.052982    -11.052982
   0.95381    -11.056461    -11.056461
   0.92724    -11.059027    -11.059027
   0.90068    -11.060603    -11.060603
   0.87412    -11.061136    -11.061136
   0.87412    -11.061136    -11.061136
   0.82811    -11.050842    -11.050842
   0.78211    -11.030302    -11.030302
   0.73610    -11.012167    -11.012167
   0.69010    -11.001438    -11.001438
   0.64409    -10.999189    -10.999189
   0.59808    -11.004950    -11.004950
   0.55208    -11.017538    -11.017538
   0.50607    -11.035492    -11.035492
   0.46006    -11.057295    -11.057295
   0.41406    -11.081494    -11.081494
   0.36805    -11.106728    -11.106728
   0.32204    -11.131776    -11.131776
   0.27604    -11.155566    -11.155566
   0.23003    -11.177204    -11.177204
   0.18403    -11.195911    -11.195911
   0.13802    -11.211076    -11.211076
   0.09201    -11.222235    -11.222235
   0.04601    -11.229055    -11.229055
   0.00000    -11.231349    -11.231349
 
# Band-Index:    9
   0.00000     -5.870149     -5.870149
   0.04601     -5.862353     -5.862353
   0.09201     -5.839006     -5.839006
   0.13802     -5.800226     -5.800226
   0.18403     -5.746220     -5.746220
   0.23003     -5.677290     -5.677290
   0.27604     -5.593853     -5.593853
   0.32204     -5.496479     -5.496479
   0.36805     -5.385897     -5.385897
   0.41406     -5.263119     -5.263119
   0.46006     -5.129631     -5.129631
   0.50607     -4.988379     -4.988379
   0.55208     -4.869029     -4.869029
   0.59808     -5.033080     -5.033080
   0.64409     -5.229915     -5.229915
   0.69010     -5.400610     -5.400610
   0.73610     -5.538743     -5.538743
   0.78211     -5.640294     -5.640294
   0.82811     -5.702414     -5.702414
   0.87412     -5.723324     -5.723324
   0.87412     -5.723324     -5.723324
   0.90068     -5.721940     -5.721940
   0.92724     -5.717812     -5.717812
   0.95381     -5.711010     -5.711010
   0.98037     -5.701653     -5.701653
   1.00693     -5.689913     -5.689913
   1.03349     -5.676022     -5.676022
   1.06005     -5.660281     -5.660281
   1.08661     -5.643069     -5.643069
   1.11318     -5.624856     -5.624856
   1.13974     -5.606206     -5.606206
   1.16630     -5.587779     -5.587779
   1.19286     -5.570326     -5.570326
   1.21942     -5.554643     -5.554643
   1.24599     -5.541490     -5.541490
   1.27255     -5.531473     -5.531473
   1.29911     -5.524860     -5.524860
   1.32567     -5.521434     -5.521434
   1.35223     -5.520396     -5.520396
   1.37879     -5.520414     -5.520414
   1.37879     -5.520414     -5.520414
   1.43192     -5.516709     -5.516709
   1.48504     -5.496290     -5.496290
   1.53817     -5.447950     -5.447950
   1.59129     -5.365040     -5.365040
   1.64441     -5.244980     -5.244980
   1.69754     -5.088194     -5.088194
   1.75066     -4.897646     -4.897646
   1.80378     -4.732323     -4.732323
   1.85691     -4.902976     -4.902976
   1.91003     -5.073138     -5.073138
   1.96315     -5.231758     -5.231758
   2.01628     -5.375980     -5.375980
   2.06940     -5.503856     -5.503856
   2.12252     -5.613975     -5.613975
   2.17565     -5.705296     -5.705296
   2.22877     -5.777039     -5.777039
   2.28190     -5.828649     -5.828649
   2.33502     -5.859756     -5.859756
   2.38814     -5.870149     -5.870149
 
# Band-Index:   10
   2.38814     -3.798951     -3.798951
   2.33502     -3.803921     -3.803921
   2.28190     -3.818603     -3.818603
   2.22877     -3.842299     -3.842299
   2.17565     -3.873991     -3.873991
   2.12252     -3.912421     -3.912421
   2.06940     -3.956256     -3.956256
   2.01628     -4.004191     -4.004191
   1.96315     -4.055024     -4.055024
   1.91003     -4.172196     -4.172196
   1.85691     -4.429188     -4.429188
   1.80378     -4.665475     -4.665475
   1.75066     -4.539645     -4.539645
   1.69754     -4.365280     -4.365280
   1.64441     -4.348706     -4.348706
   1.59129     -4.379687     -4.379687
   1.53817     -4.401908     -4.401908
   1.48504     -4.415552     -4.415552
   1.43192     -4.421359     -4.421359
   1.37879     -4.420248     -4.420248
   1.37879     -4.420248     -4.420248
   1.35223     -4.417393     -4.417393
   1.32567     -4.413163     -4.413163
   1.29911     -4.407679     -4.407679
   1.27255     -4.401066     -4.401066
   1.24599     -4.393457     -4.393457
   1.21942     -4.384991     -4.384991
   1.19286     -4.375818     -4.375818
   1.16630     -4.366111     -4.366111
   1.13974     -4.356058     -4.356058
   1.11318     -4.345870     -4.345870
   1.08661     -4.335779     -4.335779
   1.06005     -4.326030     -4.326030
   1.03349     -4.316879     -4.316879
   1.00693     -4.308584     -4.308584
   0.98037     -4.301392     -4.301392
   0.95381     -4.295533     -4.295533
   0.92724     -4.291200     -4.291200
   0.90068     -4.288539     -4.288539
   0.87412     -4.287642     -4.287642
   0.87412     -4.287642     -4.287642
   0.82811     -4.285400     -4.285400
   0.78211     -4.280761     -4.280761
